CODGEO;LIBGEO;SNHM14;SNHMC14;SNHMP14;SNHME14;SNHMO14;SNHMF14;SNHMFC14;SNHMFP14;SNHMFE14;SNHMFO14;SNHMH14;SNHMHC14;SNHMHP14;SNHMHE14;SNHMHO14;SNHM1814;SNHM2614;SNHM5014;SNHMF1814;SNHMF2614;SNHMF5014;SNHMH1814;SNHMH2614;SNHMH5014;NOM_DEPT;Geo Shape;geo_point_2d
77371;Pommeuse;15.1578065167;25.4838318499;15.2960710132;11.3505930403;12.5875433487;13.0685693934;19.98000522;14.246683151;11.2309340653;11.8099855405;16.6094797824;27.762282144;15.967980598;11.7304903464;12.7367226001;9.49719855944;15.1444155858;17.8691032761;9.33878172335;13.3301002344;14.4401871223;9.65253563345;16.4067542596;19.8724322132;SEINE-ET-MARNE;"{""type"": ""Polygon"", ""coordinates"": [[[3.0181316416, 48.8404009409], [3.0179272572, 48.8403569043], [3.0120105909, 48.8366155095], [3.010687259, 48.8342863497], [3.0099047184, 48.831237654], [3.0099427143, 48.8304705124], [3.0103485668, 48.8300486865], [3.0119788737, 48.829021485], [3.0161424727, 48.8272852619], [3.0240620068, 48.8217592434], [3.028264374, 48.8204920399], [3.033901852, 48.8190147401], [3.0371947271, 48.8187250693], [3.0378709973, 48.8179100443], [3.0377381939, 48.8169405843], [3.037440299, 48.8155313911], [3.0372398738, 48.8151968939], [3.0333110733, 48.8109369045], [3.0290611617, 48.8083667466], [3.0267505834, 48.8085606483], [3.0255250976, 48.8085222438], [3.023111182, 48.8060198144], [3.020187927, 48.8025595953], [3.0162336224, 48.7963024038], [3.0072723521, 48.7882143294], [3.0069293255, 48.7879913047], [3.0066626031, 48.7883978376], [3.0046184255, 48.7906607606], [3.002639407, 48.792878674], [3.0025740795, 48.7931035184], [3.0023141271, 48.794048763], [3.0021208624, 48.7948590996], [3.0018051141, 48.7967927494], [3.0017833637, 48.7976921182], [3.00224083, 48.7989476277], [3.0045020989, 48.7991598146], [3.0046409761, 48.7993387833], [3.0049909217, 48.8000555643], [3.0058489761, 48.8033319119], [3.0063639877, 48.806340253], [3.0064416971, 48.8071487743], [3.0063777353, 48.8074185858], [3.0059121559, 48.8081938582], [3.0050938093, 48.8080634887], [3.0035238412, 48.8077127948], [3.0004547723, 48.8071687329], [2.9983089105, 48.8068665366], [2.9961303807, 48.8067657575], [2.9936332356, 48.806779141], [2.9922035852, 48.8066972145], [2.9890666205, 48.8061303712], [2.9877691303, 48.8057776957], [2.9861966958, 48.8051569648], [2.9851008202, 48.8045794425], [2.9838634968, 48.8035971774], [2.9824887561, 48.8024808734], [2.9822977988, 48.8035160131], [2.9818490988, 48.8057202837], [2.9815887239, 48.8066205046], [2.981391102, 48.8071609899], [2.9832558613, 48.8175866057], [2.9840376148, 48.8218964006], [2.9841190053, 48.8229738309], [2.9833124227, 48.823832598], [2.9831789, 48.8239683808], [2.9832496538, 48.8241923281], [2.9835994438, 48.8249990906], [2.984018697, 48.825850828], [2.984576819, 48.8269714855], [2.9847851437, 48.8272395169], [2.9868563159, 48.8296553994], [2.9890011845, 48.8323401504], [2.9883562046, 48.8351838003], [2.9879555246, 48.8358600628], [2.9881598763, 48.8358591838], [2.993856908, 48.8382950158], [2.999621224, 48.8419977318], [2.9996920729, 48.8422216658], [3.0014797245, 48.8436048296], [3.0042948941, 48.8454313022], [3.0044311533, 48.8454303979], [3.0047704348, 48.8453836197], [3.0152180459, 48.8428331435], [3.0184111045, 48.8408487665], [3.0184097102, 48.8407588333], [3.0181316416, 48.8404009409]]]}";48.8182522103, 3.00599380483
77294;Mitry-Mory;14.4000081531;23.0698190234;15.7226955966;11.5533245126;12.2152945345;13.1841465036;20.865515991;14.3793365419;11.3509881469;10.5353510869;15.2028250008;24.2106733414;16.7341889966;11.9699375508;12.5090026857;10.1440449331;14.3851102657;16.4807381766;9.75404482216;13.2334067318;14.9125428251;10.4396669181;15.1510725187;17.4282963346;SEINE-ET-MARNE;"{""type"": ""Polygon"", ""coordinates"": [[[2.653199627, 48.9556192053], [2.6464268388, 48.9550077192], [2.6436202801, 48.9534868722], [2.6433467453, 48.9533529698], [2.6423916704, 48.9534454456], [2.624705675, 48.9531836633], [2.6175595821, 48.9532905742], [2.611397128, 48.9549676467], [2.5979384863, 48.951672472], [2.5936359396, 48.9506481028], [2.5926788793, 48.9502914477], [2.592322913, 48.9500672223], [2.5921171411, 48.9498426076], [2.5919789763, 48.949528297], [2.5919093847, 48.9493491081], [2.5914347632, 48.9499787696], [2.5912329465, 48.9502937205], [2.5909614392, 48.9507891835], [2.5902861758, 48.952273346], [2.5893050071, 48.9537582539], [2.5872335657, 48.9558293126], [2.5858751171, 48.9570008487], [2.5781650174, 48.962590679], [2.56973361, 48.9711332094], [2.5634346214, 48.9777324303], [2.5624839204, 48.9788575053], [2.5624857478, 48.979127282], [2.5635148134, 48.980383662], [2.5638706287, 48.9804730809], [2.567113126, 48.9803993983], [2.5719219579, 48.9797386339], [2.5777354568, 48.9820190057], [2.5797962901, 48.9849847038], [2.5805616751, 48.9879979907], [2.5803194899, 48.9915931374], [2.577392315, 48.9964962003], [2.5758390395, 49.0002827146], [2.5804312496, 49.0007673479], [2.5883827333, 49.0024791088], [2.5938761029, 49.0045156525], [2.5971053998, 49.0054500243], [2.6018854802, 49.0064739873], [2.6056168011, 49.0070321246], [2.6130580953, 49.0081102141], [2.6203014206, 49.0062063474], [2.6203700889, 49.0061616042], [2.6215316445, 49.0063828806], [2.6241007143, 49.0070284912], [2.6241956404, 49.0063768639], [2.6245987809, 49.0052523183], [2.6346772329, 49.000051819], [2.640733966, 48.9939707372], [2.6428422008, 48.9892399495], [2.6460028631, 48.9859968325], [2.6537173863, 48.9799846484], [2.6590693739, 48.9777734894], [2.6604284634, 48.9769608441], [2.660825333, 48.9747579528], [2.6598011082, 48.9747163853], [2.6592531498, 48.9745376813], [2.6581568718, 48.9738214709], [2.6506694766, 48.9659693503], [2.6499141794, 48.9651623282], [2.6495926807, 48.9601777887], [2.652318266, 48.95652849], [2.652658886, 48.956437754], [2.653066608, 48.9561134068], [2.6532011645, 48.9557981601], [2.653199627, 48.9556192053]]]}";48.9779936842, 2.61229304571
78571;Saint-Nom-la-Bretèche;43.2739994755;51.4911382296;37.2152101628;15.5543890045;33.5448825758;24.4003597922;31.8261933367;18.6421008731;14.9482926708;21.2913553895;52.3950438375;58.0252262377;56.3149491917;16.5688337908;35.279442035;11.3962046072;38.1148105121;56.9351988675;11.3900751032;24.685870604;25.856453207;11.399498595;45.446172124;68.550433141;YVELINES;"{""type"": ""Polygon"", ""coordinates"": [[[2.0202528847, 48.8825977752], [2.0205255938, 48.8825991073], [2.0369202548, 48.8776983483], [2.0371924232, 48.8776537704], [2.0373980698, 48.8775196192], [2.0468155719, 48.8747115947], [2.0467493209, 48.8745320921], [2.0447793698, 48.8734038642], [2.0415855611, 48.8719582227], [2.0387028208, 48.869771207], [2.0362285415, 48.8678464265], [2.0362288422, 48.8677564911], [2.0369801141, 48.867308352], [2.0439482433, 48.8638656307], [2.0440158542, 48.8638212017], [2.0438214655, 48.8621575915], [2.0422485586, 48.8572559592], [2.0393232274, 48.8507685965], [2.0381745313, 48.8492825644], [2.0374988611, 48.8483822336], [2.035540132, 48.8456808638], [2.0354725942, 48.8455013393], [2.0351330725, 48.8453654907], [2.0337074728, 48.8446425607], [2.0303788525, 48.8433762563], [2.028068225, 48.8426964464], [2.026367667, 48.8423318514], [2.0227624088, 48.8417385287], [2.0226266719, 48.8417832892], [2.0184549713, 48.8464547951], [2.0109996815, 48.8479529533], [2.0106603718, 48.8479519467], [2.0090228934, 48.8483521177], [2.007590299, 48.8487980366], [2.0057473232, 48.8494662776], [2.0064271259, 48.8496931769], [2.0071060778, 48.849965035], [2.0096161921, 48.8514095843], [2.0096757267, 48.8529381495], [2.0070842686, 48.8534698], [2.0061985834, 48.8536018531], [1.9995001315, 48.8552908554], [1.9962936654, 48.8561804841], [1.9942449638, 48.8568935896], [1.9926729804, 48.8578328241], [1.9915751096, 48.8591330928], [1.9915738616, 48.8592679911], [1.9906186457, 48.8595342522], [1.9908207036, 48.8599397833], [1.9865709559, 48.8638458978], [1.986503296, 48.8638902943], [1.986839133, 48.8645658807], [1.9874451132, 48.8655108698], [1.9880532288, 48.8662768948], [1.9922441815, 48.8710520129], [1.9938014133, 48.8724501616], [1.9986821734, 48.876292765], [2.0147666965, 48.8774155405], [2.0154472399, 48.8775524482], [2.015989419, 48.8778680895], [2.0201867152, 48.8824182593], [2.0202528847, 48.8825977752]]]}";48.8631075636, 2.0187724896
78688;Voisins-le-Bretonneux;24.4184645318;31.1315086423;17.0019177078;13.2085674598;16.4600846665;19.353417255;25.827275702;15.7515989145;12.7703243569;14.4198571647;27.6229299992;33.438657841;18.169800542;14.1556434857;16.8471572204;10.7708745154;23.0087412433;30.1456988647;10.4712941042;19.6400472514;21.2814025271;11.0389410304;25.2563622181;34.7952745887;YVELINES;"{""type"": ""Polygon"", ""coordinates"": [[[2.0255399431, 48.7558569891], [2.0257372937, 48.756945158], [2.0258912722, 48.757660592], [2.0261591219, 48.7581062142], [2.0271159848, 48.7593939548], [2.0280758177, 48.7600862638], [2.0292934271, 48.7608184375], [2.0327049513, 48.7606293464], [2.0360407469, 48.7617401716], [2.0430296027, 48.7664942588], [2.0514118474, 48.7684742676], [2.0537341857, 48.7675176773], [2.0629782812, 48.7639666422], [2.0657964684, 48.7574028709], [2.0684398071, 48.7567111454], [2.0659367671, 48.7534391296], [2.0637151486, 48.7525438516], [2.0613057919, 48.7517298064], [2.0595081153, 48.7513207942], [2.0485908069, 48.751398909], [2.041462751, 48.7516432239], [2.0383403156, 48.7541906021], [2.0331752783, 48.755068153], [2.0267770882, 48.7556799883], [2.0259478356, 48.755722698], [2.0255399431, 48.7558569891]]]}";48.758778972, 2.04882028884
78481;Le Pecq;22.6180362922;31.992954296;17.2384408638;12.9246027437;14.9845293896;18.2655503704;26.1221948523;16.0619917637;12.3224850301;12.6070741907;25.9721283564;35.2124305723;18.4991002404;13.9840114605;15.4724978758;10.4719250754;21.2570069539;28.901923809;10.1727607743;18.1160608819;20.7047914984;10.7582466132;23.6317027559;35.2194427324;YVELINES;"{""type"": ""Polygon"", ""coordinates"": [[[2.104125071, 48.9073986399], [2.1052852327, 48.9071312148], [2.1055588604, 48.9070864929], [2.105898196, 48.9072670951], [2.1062379461, 48.9075825999], [2.1071231826, 48.9076737396], [2.1081465534, 48.9075860339], [2.1132103022, 48.9063375785], [2.113143352, 48.9060232141], [2.1190840805, 48.9035623979], [2.1202442356, 48.9032048943], [2.1201761752, 48.9031153598], [2.118003386, 48.9014032244], [2.1176616002, 48.9014474726], [2.1154093524, 48.902252856], [2.1146579985, 48.9024757367], [2.1144564913, 48.9018914745], [2.113624801, 48.8991414307], [2.1144904341, 48.8970091951], [2.1173554029, 48.8934392582], [2.1181874229, 48.8907806197], [2.1102659347, 48.8874375898], [2.1089221161, 48.8893791908], [2.1085107449, 48.8898276031], [2.1078993437, 48.8896917442], [2.103121413, 48.888289935], [2.1019681115, 48.8871552997], [2.101629672, 48.8866149469], [2.1010882046, 48.8856701575], [2.1010891695, 48.8855352614], [2.1008183589, 48.8852652198], [2.0974299752, 48.8813041341], [2.0924976829, 48.8795868413], [2.0882456284, 48.878364676], [2.0846343044, 48.8784018709], [2.0842238192, 48.8787153075], [2.086668416, 48.8805183181], [2.089656643, 48.8825916199], [2.0923715869, 48.8847095366], [2.0924376007, 48.8850688806], [2.092163856, 48.8855173831], [2.0918207539, 48.8858763224], [2.0928427358, 48.8859236417], [2.0944090252, 48.886196312], [2.0954288736, 48.886602436], [2.096788479, 48.8872350537], [2.1002519843, 48.8899465995], [2.1003866231, 48.8901265822], [2.1003845161, 48.8908010801], [2.1002448647, 48.8913846091], [2.1004441106, 48.8961931262], [2.1015656836, 48.9007567279], [2.1031796054, 48.9054193161], [2.104125071, 48.9073986399]]]}";48.8942430373, 2.10548394273
78591;Septeuil;19.0785898269;30.2203227776;16.9437599288;12.2228232806;12.8429502117;15.3784162723;23.3844430125;15.8069684936;11.781892437;11.2690979469;21.5363097887;32.8586848796;17.8198501283;13.1142140701;13.0794728047;9.7660197066;18.7634931024;22.4032514065;9.16187691858;15.343638408;17.1404545669;10.2462814911;20.900338741;26.3589723872;YVELINES;"{""type"": ""Polygon"", ""coordinates"": [[[1.6897771195, 48.872884673], [1.6895026507, 48.8730633533], [1.6836163313, 48.8752779201], [1.6814419863, 48.8747718928], [1.6808375954, 48.8741392288], [1.6748747042, 48.8716799685], [1.6697869451, 48.8699433836], [1.6695152248, 48.8698522184], [1.6670395736, 48.8706917303], [1.6645760872, 48.8715322264], [1.6641028538, 48.8717491064], [1.6650361968, 48.8728379448], [1.6610215396, 48.8828811406], [1.6610126093, 48.8835996841], [1.6612620933, 48.8853536595], [1.6615237775, 48.8862092416], [1.6621910976, 48.8872555365], [1.6626693351, 48.8871682386], [1.6652491922, 48.8874578605], [1.6673950334, 48.8891456965], [1.6682126463, 48.8906145551], [1.6684442762, 48.8949973031], [1.6676519958, 48.8972793047], [1.6631954773, 48.9032233348], [1.6628488008, 48.9037600111], [1.6629146873, 48.9038506878], [1.6643946487, 48.9054051927], [1.6657367389, 48.9062206254], [1.6668350043, 48.9062229615], [1.6671791213, 48.9062115014], [1.667114866, 48.9058968927], [1.6680044036, 48.9056315696], [1.6735256421, 48.9043599219], [1.6817268905, 48.9028944971], [1.6891812781, 48.9005137377], [1.6943642975, 48.8985421892], [1.6952546748, 48.8982326029], [1.6954581616, 48.8982779914], [1.696807417, 48.899363878], [1.6996233404, 48.8977161913], [1.7062697352, 48.8947409804], [1.7136821908, 48.8915892534], [1.7168257385, 48.8908872639], [1.7173047693, 48.890709816], [1.7169683424, 48.8903032749], [1.7106970859, 48.88478815], [1.6985247938, 48.8780348938], [1.6905202018, 48.8734279664], [1.6897771195, 48.872884673]]]}";48.8877231014, 1.68422931795
78502;Le Port-Marly;19.2730674953;29.0581222785;16.7514257141;12.1982267639;13.9294548405;16.8673106719;26.1959150514;15.3414588649;11.8705065738;11.9212714721;21.1113033437;30.6812764102;18.1256457807;12.7310573163;14.2198985337;10.7412499338;18.3861057647;25.2799005169;10.4401410601;17.1998870226;18.3805790402;11.0369817827;19.2541865175;30.8322238321;YVELINES;"{""type"": ""Polygon"", ""coordinates"": [[[2.1010891695, 48.8855352614], [2.1010882046, 48.8856701575], [2.101629672, 48.8866149469], [2.1019681115, 48.8871552997], [2.103121413, 48.888289935], [2.1078993437, 48.8896917442], [2.1085107449, 48.8898276031], [2.1089221161, 48.8893791908], [2.1102659347, 48.8874375898], [2.111332672, 48.8869427736], [2.1134401944, 48.8847504838], [2.1141924608, 48.8838980672], [2.1148797345, 48.8827762575], [2.1153589128, 48.8821025839], [2.1162500683, 48.880936404], [2.1167287266, 48.8805325275], [2.1197941639, 48.8781079511], [2.1178945321, 48.8770749937], [2.1131765951, 48.8746847063], [2.1098787416, 48.8731501965], [2.1094042196, 48.8728345873], [2.1087903567, 48.8730134888], [2.1054117931, 48.8807165053], [2.1028579306, 48.8848227479], [2.1023825018, 48.8854262497], [2.1010891695, 48.8855352614]]]}";48.8814836389, 2.10995894163
78401;Meulan-en-Yvelines;14.2553944363;23.8041934917;14.8593647507;10.9254440659;11.8629745391;12.9769750317;20.4968461665;13.77721865;10.9014874483;9.78701581675;15.1104708888;25.7216257231;15.6560736208;10.9682803657;12.1579894368;9.96361671907;14.0547156966;17.3883195649;9.45565742552;13.2522434029;14.5441427712;10.4252577149;14.5840517324;19.0539396283;YVELINES;"{""type"": ""Polygon"", ""coordinates"": [[[1.9201199744, 49.0155143353], [1.919428053, 49.01486333], [1.9211066543, 49.0144818493], [1.921995751, 49.0143945141], [1.9252084314, 49.0141364546], [1.9267532484, 49.013940746], [1.9309257931, 49.0128763708], [1.9359732808, 49.0106685397], [1.9361139047, 49.0102102569], [1.9361869341, 49.0095814116], [1.9366761039, 49.0081900702], [1.9370267191, 49.0068883251], [1.9370973935, 49.0065742039], [1.9363483804, 49.0064371729], [1.9278908703, 49.0049257713], [1.9136670989, 49.0013850818], [1.9033399949, 48.998899046], [1.8923874328, 48.9964998615], [1.8813817636, 48.9938203853], [1.8810411063, 48.9937740427], [1.8810393962, 48.9940438159], [1.8814292824, 48.9962471297], [1.8855823045, 48.9976643896], [1.8880340443, 48.9984380433], [1.8883064149, 48.9984837329], [1.8900779408, 48.9989848499], [1.9007708877, 49.0023045268], [1.9024582666, 49.0055708872], [1.9026223593, 49.0096443374], [1.9017915929, 49.0108543642], [1.9000075379, 49.0135025906], [1.8997097334, 49.0140079529], [1.9009526525, 49.0143223957], [1.9021801113, 49.0131052154], [1.9031856105, 49.0122969638], [1.9061818799, 49.0117325804], [1.9068586501, 49.0120543923], [1.9070582026, 49.0122513527], [1.907453264, 49.0118628642], [1.9082237922, 49.0112367835], [1.9083600703, 49.0111921598], [1.9086998216, 49.0114182702], [1.9115965229, 49.0144256723], [1.9153266833, 49.0152498981], [1.9196842817, 49.0155589758], [1.9201199744, 49.0155143353]]]}";49.0064334423, 1.91314627076
78642;Verneuil-sur-Seine;19.9765076092;29.5393919121;16.4397291606;12.4204697113;13.4296352485;16.8596321784;24.6464035678;15.5153798367;12.187701804;11.4247751487;22.2298227898;32.0397626987;17.3582036122;12.8434712161;13.6748648955;10.6146224178;19.4294585164;23.9654104863;10.1422278943;17.1954941211;18.0789036357;11.0057043337;21.0406772721;28.0846624848;YVELINES;"{""type"": ""Polygon"", ""coordinates"": [[[1.9390842605, 48.9809063108], [1.9393533012, 48.9815813655], [1.9396542072, 48.982369113], [1.9399532878, 48.9833807679], [1.9438118629, 48.9967566786], [1.9459400265, 49.0042223419], [1.946470341, 49.0063807677], [1.9515303204, 49.0055887509], [1.9537869014, 49.0051911791], [1.9567969356, 49.0044368088], [1.9604942636, 49.0032800467], [1.9651642923, 49.0014526078], [1.9723613923, 48.997745578], [1.9784066946, 48.9945292114], [1.982176956, 48.9925180832], [1.9825189697, 48.9924292571], [1.9826555288, 48.9922946233], [1.9848487983, 48.9911783044], [1.9899212057, 48.9880925042], [1.9926074051, 48.9847211819], [1.9931018802, 48.9840940328], [1.9933104352, 48.9835553106], [1.9933116817, 48.9834204278], [1.9913914149, 48.9826057291], [1.9874464049, 48.980527507], [1.9830084249, 48.9778253556], [1.9795582228, 48.976046922], [1.9766328028, 48.9748250323], [1.9726267777, 48.9734049644], [1.9597336964, 48.9689762722], [1.9537918077, 48.9694515785], [1.9535838047, 48.9699452817], [1.9533057157, 48.9706631991], [1.9517614615, 48.9764547158], [1.9505717776, 48.9784731346], [1.9496738752, 48.9797728566], [1.9443468017, 48.9802494863], [1.9394964071, 48.9807282967], [1.9390842605, 48.9809063108]]]}";48.9871271356, 1.96315283214
78420;Montfort-l'Amaury;24.9782270431;40.1253534735;16.3005447161;12.9043225989;13.3095697812;18.0749333421;27.7976899367;15.1614201146;12.8713638126;13.0122435897;29.6770024861;45.5420464116;17.2809981964;12.9767876711;13.3365544605;10.2018130244;22.0836209225;33.5285318118;10.0771951028;17.4561288879;20.9695894863;10.3009777904;25.0667984813;42.6496383515;YVELINES;"{""type"": ""Polygon"", ""coordinates"": [[[1.8198159644, 48.7646492561], [1.8195932338, 48.7652326259], [1.819042953, 48.7658595305], [1.8182215604, 48.7664405744], [1.818016465, 48.7664844192], [1.8079149736, 48.7629587433], [1.7944280244, 48.7598082337], [1.7929245035, 48.760520744], [1.7821807282, 48.7660443519], [1.7819738166, 48.7662230415], [1.7833840352, 48.7678924928], [1.7860096362, 48.7703757339], [1.7873556945, 48.7715956299], [1.7931644318, 48.7752713163], [1.7942456397, 48.7759505556], [1.7971777696, 48.7770433105], [1.798580305, 48.7775431473], [1.798716008, 48.7776785357], [1.7992582676, 48.7777712374], [1.804239473, 48.7794339781], [1.8080073627, 48.7813155737], [1.8159455377, 48.7831574922], [1.8269159514, 48.7810475896], [1.8303390025, 48.778680436], [1.8316559162, 48.7774277507], [1.8331654877, 48.7760770894], [1.8343237556, 48.7757672814], [1.8327076464, 48.7742772462], [1.8322336903, 48.7740504411], [1.8278345009, 48.771239634], [1.825351951, 48.768538366], [1.8252895995, 48.7680439324], [1.8250177904, 48.7679081342], [1.8238115365, 48.7672126482], [1.8236759588, 48.7661040379], [1.8198159644, 48.7646492561]]]}";48.7716567787, 1.80817362893
